total,EndMessageEvent,Lane,IntermediateMessageEventCatching,Pool,MessageFlow,TextAnnotation,Association_Undirected,SequenceFlow,Task,CollapsedPool,BPMNDiagram,Exclusive_Databased_Gateway,EndNoneEvent,ParallelGateway,InclusiveGateway,StartMessageEvent,StartNoneEvent,StartTimerEvent,DataObject,IntermediateMessageEventThrowing,Association_Unidirectional,IntermediateTimerEvent,DataStore,ITSystem,EndTerminateEvent,EventbasedGateway,CollapsedSubprocess,IntermediateSignalEventCatching,Subprocess,Message,IntermediateLinkEventCatching,IntermediateErrorEvent,ComplexGateway,StartEscalationEvent,EndEscalationEvent,IntermediateConditionalEvent,IntermediateCompensationEventThrowing,EndCompensationEvent,IntermediateCompensationEventCatching,EventSubprocess,StartCompensationEvent,EndCancelEvent,processparticipant,StartSignalEvent,IntermediateEscalationEvent,StartConditionalEvent,EndErrorEvent,IntermediateLinkEventThrowing,Group,Association_Bidirectional,IntermediateMultipleEventCatching,IntermediateEscalationEventThrowing,IntermediateEvent,StartErrorEvent,StartMultipleEvent,EndSignalEvent,IntermediateSignalEventThrowing,IntermediateCancelEvent,CollapsedEventSubprocess,StartParallelMultipleEvent,VerticalLane,VerticalPool,IntermediateParallelMultipleEventCatching,EndMultipleEvent,IntermediateMultipleEventThrowing,ChoreographyTask,ChoreographyParticipant,ChoreographySubprocessExpanded,ChoreographySubprocessCollapsed,CollapsedVerticalPool,fileName,
17,0,2,0,1,0,0,0,6,2,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10027293.meta.json,
68,1,4,4,3,8,0,0,23,10,0,1,2,3,0,0,1,1,0,0,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002807019.meta.json,
32,2,0,2,0,3,0,0,13,3,0,1,1,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002810519.meta.json,
57,0,3,0,2,2,0,0,25,13,0,1,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003148129.meta.json,
14,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003233611.meta.json,
23,0,0,0,0,0,0,2,9,6,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003239331.meta.json,
17,0,0,0,0,0,0,0,8,2,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003326258.meta.json,
59,0,2,0,2,9,4,6,14,5,2,1,1,3,0,0,1,0,0,0,0,0,1,1,0,0,0,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003354322.meta.json,
52,0,3,2,2,6,0,0,18,9,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100343055.meta.json,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003554192.meta.json,
189,1,4,11,3,12,1,4,67,34,0,1,3,7,2,0,1,5,1,5,7,6,3,0,0,0,1,0,0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100368041.meta.json,
