elements,activities,events,startEvents,endEvents,gateways,lanesAndPools,sequenceFlows,fileName,min,normalized,hasError
141,44,3,1,2,17,2,72,1020811925.meta.json,0,0.5,1
120,5,30,3,8,5,6,38,1020975201.meta.json,0,0.25,1
80,14,2,1,1,2,14,13,1021091398.meta.json,0,0.75,1
31,2,5,2,3,4,0,13,1021118354.meta.json,0,0.75,1
18,5,2,1,1,0,0,6,1021181903.meta.json,1,1,0
148,12,12,2,3,11,7,37,1021255468.meta.json,0,0.25,1
6,1,2,1,1,0,0,2,1021404301.meta.json,1,1,0
8,3,0,0,0,1,0,3,1021422786.meta.json,0,0.75,1
37,5,9,2,2,0,6,13,102147676.meta.json,0,0.5,1
91,19,12,2,2,0,6,29,1021525987.meta.json,0,0.375,1
10,1,2,1,1,0,2,2,1021536804.meta.json,1,1,0
36,4,4,2,2,4,4,12,1021591858.meta.json,0,0.75,1
14,3,2,1,1,0,2,4,1021618104.meta.json,1,1,0
83,20,12,3,4,4,6,33,1021648949.meta.json,0,0.375,1
28,5,0,0,0,0,18,1,1021676957.meta.json,0,0.625,1
24,6,3,1,2,1,4,7,1021816658.meta.json,0,0.875,1
23,5,2,1,1,2,0,9,1021852499.meta.json,1,1,0
32,4,3,1,2,2,7,9,102200917.meta.json,0,0.75,1
47,7,4,2,2,3,7,14,1022265098.meta.json,0,0.5,1
27,6,2,1,1,3,0,15,1022489032.meta.json,1,1,0
28,8,3,1,2,1,4,8,102261676.meta.json,0,0.875,1
94,20,11,5,5,7,4,37,102263233.meta.json,0,0.375,1
22,2,3,1,2,2,6,7,1022785501.meta.json,0,0.75,1
71,17,3,1,2,2,5,21,102300656.meta.json,0,0.625,1
114,14,14,5,6,4,11,29,1023113524.meta.json,0,0.375,1
16,3,2,1,1,1,2,7,1023125370.meta.json,1,1,0
85,12,14,2,5,5,9,30,102313104.meta.json,0,0.375,1
14,4,1,1,0,0,4,4,1023163839.meta.json,0,0.875,1
8,2,2,1,1,0,0,3,1023546488.meta.json,1,1,0
358,71,50,13,16,13,11,126,1023662783.meta.json,0,0.125,1
13,2,2,1,1,1,2,5,1023959566.meta.json,1,1,0
79,20,2,1,1,10,2,38,1024215554.meta.json,0,0.75,1
46,6,7,2,3,4,4,16,1024221549.meta.json,0,0.625,1
13,2,3,1,1,0,3,4,1024396283.meta.json,1,1,0
23,4,5,1,3,1,2,8,1024425030.meta.json,0,0.875,1
66,15,6,3,2,3,6,23,102453938.meta.json,0,0.5,1
127,25,12,2,5,9,6,48,1024559312.meta.json,0,0.25,1
38,15,3,2,1,0,0,17,1024569312.meta.json,0,0.75,1
42,5,7,4,2,3,7,12,1024641911.meta.json,0,0.5,1
35,8,2,1,1,2,4,10,1024759920.meta.json,1,1,0
31,7,4,2,2,1,4,11,1024880952.meta.json,0,0.75,1
93,26,3,1,2,9,2,52,1024943999.meta.json,0,0.625,1
46,7,9,2,4,6,2,21,1025024885.meta.json,0,0.5,1
67,12,5,1,4,5,4,22,1025211006.meta.json,0,0.75,1
39,10,4,2,2,4,0,20,1025795204.meta.json,0,0.625,1
176,21,1,1,0,1,5,63,1025894190.meta.json,0,0.5,1
26,4,2,1,1,2,3,8,1026163270.meta.json,1,1,0
41,3,4,1,1,4,6,12,1026190307.meta.json,0,0.75,1
52,9,6,3,3,4,8,21,1026287908.meta.json,0,0.5,1
31,9,4,1,1,0,0,11,1026398871.meta.json,1,1,0
85,19,7,2,3,9,7,37,1026426675.meta.json,0,0.375,1
32,10,2,1,1,4,0,15,1026674280.meta.json,1,1,0
17,2,2,1,1,1,2,5,1026749804.meta.json,1,1,0
27,5,4,1,2,1,0,9,1026827159.meta.json,0,0.875,1
40,9,3,1,2,3,3,15,1027037016.meta.json,0,0.75,1
4,2,0,0,0,0,0,1,102711735.meta.json,0,0.75,1
4,1,1,1,0,0,0,1,1027229752.meta.json,0,0.875,1
65,19,3,2,1,7,4,31,102743984.meta.json,0,0.75,1
74,17,6,1,1,6,6,31,1027478418.meta.json,0,0.75,1
17,3,2,1,0,0,4,4,1027484179.meta.json,0,0.875,1
18,3,2,1,1,2,3,7,1027490769.meta.json,1,1,0
233,49,19,3,7,34,13,118,1027569574.meta.json,0,0,1
162,30,11,1,1,34,0,90,1027737581.meta.json,0,0.5,1
67,15,8,2,2,4,5,32,1027972696.meta.json,0,0.375,1
40,4,3,1,1,4,6,13,1028168740.meta.json,0,0.75,1
27,6,2,1,1,2,0,10,1028377243.meta.json,1,1,0
44,8,6,2,2,5,4,17,1028391225.meta.json,0,0.625,1
19,3,2,1,1,2,2,7,1028592466.meta.json,1,1,0
26,6,4,2,2,0,6,5,1028670114.meta.json,0,0.625,1
64,14,8,1,2,4,5,28,1028878750.meta.json,0,0.5,1
19,3,4,1,2,2,0,9,1028943036.meta.json,0,0.875,1
