elements,activities,events,startEvents,endEvents,gateways,lanesAndPools,sequenceFlows,fileName,
1,1,1,1,1,1,1,1,1032313853.meta.json,
0,0,0,1,0,1,0,0,1032361498.meta.json,
0,1,1,1,0,1,1,1,1032482829.meta.json,
0,0,0,0,0,1,0,0,1032512291.meta.json,
0,1,0,0,0,1,0,1,1032800451.meta.json,
0,1,1,1,0,1,1,0,1032995931.meta.json,
0,1,0,1,0,1,0,1,1033019365.meta.json,
0,1,0,1,0,1,0,1,1033239968.meta.json,
1,1,1,1,1,1,1,1,103338252.meta.json,
1,1,1,1,0,1,1,1,1033618072.meta.json,
0,1,0,0,0,1,0,1,1033632133.meta.json,
1,1,1,1,1,1,1,1,1033886762.meta.json,
0,1,1,1,1,1,0,1,1033978385.meta.json,
0,1,0,1,0,1,1,1,1034187908.meta.json,
1,1,1,1,1,1,1,1,1034247350.meta.json,
1,1,0,1,0,1,1,1,1034335510.meta.json,
1,1,1,1,0,1,0,1,103469670.meta.json,
0,1,1,0,0,1,0,1,1034715661.meta.json,
1,1,0,0,0,1,1,1,1034724857.meta.json,
0,1,0,1,0,1,0,1,1034897705.meta.json,
0,1,1,0,1,1,0,1,1034919934.meta.json,
0,1,0,0,0,1,0,0,1035058931.meta.json,
0,1,1,1,0,1,1,1,1035111200.meta.json,
0,1,0,0,0,1,1,1,1035129037.meta.json,
0,0,1,0,0,1,0,0,1035131639.meta.json,
1,1,1,1,1,1,1,1,1035155975.meta.json,
0,1,1,1,0,1,1,1,1035193139.meta.json,
0,1,1,0,1,1,0,1,1035274499.meta.json,
1,1,1,1,1,1,0,1,1035284164.meta.json,
0,1,0,1,1,1,1,0,103548326.meta.json,
1,1,1,1,0,1,1,1,1035516956.meta.json,
0,1,0,0,0,1,0,1,1035605564.meta.json,
0,1,0,0,0,1,0,0,1035687371.meta.json,
1,1,1,1,1,1,1,1,1035719702.meta.json,
1,1,1,1,1,1,0,1,1035869279.meta.json,
1,1,1,1,1,1,1,1,103596521.meta.json,
1,1,1,1,0,1,1,1,1035987834.meta.json,
1,1,1,0,0,1,1,1,1036030251.meta.json,
